season,team,opening_day_payroll_usd,source,notes
2002,Los Angeles Dodgers,94850952,stevetheump.com (compiled from AP / Spotrac / Cot's),
2002,Miami Marlins,41979917,stevetheump.com (compiled from AP / Spotrac / Cot's),
2002,Milwaukee Brewers,50287833,stevetheump.com (compiled from AP / Spotrac / Cot's),
2002,Minnesota Twins,40225000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2002,New York Mets,94633593,stevetheump.com (compiled from AP / Spotrac / Cot's),
2002,New York Yankees,125928583,stevetheump.com (compiled from AP / Spotrac / Cot's),
2002,Oakland Athletics,39679746,stevetheump.com (compiled from AP / Spotrac / Cot's),
2002,Philadelphia Phillies,57955000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2002,Pittsburgh Pirates,42323598,stevetheump.com (compiled from AP / Spotrac / Cot's),
2002,San Diego Padres,41425000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2002,San Francisco Giants,78299835,stevetheump.com (compiled from AP / Spotrac / Cot's),
2002,Seattle Mariners,80282668,stevetheump.com (compiled from AP / Spotrac / Cot's),
2002,St. Louis Cardinals,74098267,stevetheump.com (compiled from AP / Spotrac / Cot's),
2002,Tampa Bay Rays,34380000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2002,Texas Rangers,105302124,stevetheump.com (compiled from AP / Spotrac / Cot's),
2002,Toronto Blue Jays,76864333,stevetheump.com (compiled from AP / Spotrac / Cot's),
2002,Washington Nationals,38670500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,Arizona Diamondbacks,80640333,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,Atlanta Braves,106243667,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,Baltimore Orioles,73877500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,Boston Red Sox,99946500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,Chicago Cubs,79868333,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,Chicago White Sox,51010000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,Cincinnati Reds,59355667,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,Cleveland Guardians,48584834,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,Colorado Rockies,67179667,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,Detroit Tigers,49168000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,Houston Astros,71040000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,Kansas City Royals,40518000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,Los Angeles Angels,79031667,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,Los Angeles Dodgers,105872620,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,Miami Marlins,49050000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,Milwaukee Brewers,40627000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,Minnesota Twins,55505000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,New York Mets,117176429,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,New York Yankees,152749814,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,Oakland Athletics,50260834,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,Philadelphia Phillies,70780000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,Pittsburgh Pirates,54812429,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,San Diego Padres,47928000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,San Francisco Giants,82852167,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,Seattle Mariners,86959167,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,St. Louis Cardinals,83486666,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,Tampa Bay Rays,19630000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,Texas Rangers,103491667,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,Toronto Blue Jays,51269000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2003,Washington Nationals,51948500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,Arizona Diamondbacks,70204984,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,Atlanta Braves,88507788,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,Baltimore Orioles,51212653,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,Boston Red Sox,125208542,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,Chicago Cubs,91101667,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,Chicago White Sox,65212500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,Cincinnati Reds,43067858,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,Cleveland Guardians,34569300,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,Colorado Rockies,64590403,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,Detroit Tigers,46353554,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,Houston Astros,74666303,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,Kansas City Royals,47609000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,Los Angeles Angels,101084667,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,Los Angeles Dodgers,89694342,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,Miami Marlins,42118042,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,Milwaukee Brewers,27518500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,Minnesota Twins,53585000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,New York Mets,100629303,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,New York Yankees,182835513,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,Oakland Athletics,59825167,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,Philadelphia Phillies,93219167,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,Pittsburgh Pirates,32227929,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,San Diego Padres,54639503,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,San Francisco Giants,82019167,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,Seattle Mariners,81543833,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,St. Louis Cardinals,75633517,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,Tampa Bay Rays,29506667,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,Texas Rangers,54825973,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,Toronto Blue Jays,50017000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2004,Washington Nationals,43197500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,Arizona Diamondbacks,63015834,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,Atlanta Braves,85148582,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,Baltimore Orioles,74570539,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,Boston Red Sox,121311945,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,Chicago Cubs,87210933,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,Chicago White Sox,75228000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,Cincinnati Reds,59658275,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,Cleveland Guardians,41830400,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,Colorado Rockies,47789000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,Detroit Tigers,68998183,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,Houston Astros,76779022,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,Kansas City Royals,36881000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,Los Angeles Angels,95017822,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,Los Angeles Dodgers,81029500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,Miami Marlins,60375961,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,Milwaukee Brewers,40234833,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,Minnesota Twins,56615000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,New York Mets,104770139,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,New York Yankees,205938439,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,Oakland Athletics,55869262,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,Philadelphia Phillies,95337908,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,Pittsburgh Pirates,38138000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,San Diego Padres,62888192,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,San Francisco Giants,89487842,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,Seattle Mariners,85883333,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,St. Louis Cardinals,93319842,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,Tampa Bay Rays,29893567,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,Texas Rangers,55307258,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,Toronto Blue Jays,45336500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2005,Washington Nationals,48581500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,Arizona Diamondbacks,59684226,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,Atlanta Braves,90156876,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,Baltimore Orioles,72585582,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,Boston Red Sox,120099824,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,Chicago Cubs,94424499,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,Chicago White Sox,102750667,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,Cincinnati Reds,60909519,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,Cleveland Guardians,56031500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,Colorado Rockies,41233000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,Detroit Tigers,82612866,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,Houston Astros,92551503,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,Kansas City Royals,47294000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,Los Angeles Angels,103472000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,Los Angeles Dodgers,98447187,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,Miami Marlins,14998500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,Milwaukee Brewers,57568333,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,Minnesota Twins,63396006,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,New York Mets,101084963,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,New York Yankees,194663079,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,Oakland Athletics,62243079,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,Philadelphia Phillies,88273333,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,Pittsburgh Pirates,46717750,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,San Diego Padres,69896141,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,San Francisco Giants,90056419,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,Seattle Mariners,87959833,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,St. Louis Cardinals,88891371,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,Tampa Bay Rays,35417967,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,Texas Rangers,68228662,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,Toronto Blue Jays,71915000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2006,Washington Nationals,63143000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,Arizona Diamondbacks,52067546,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,Atlanta Braves,87290833,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,Baltimore Orioles,93554808,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,Boston Red Sox,143026214,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,Chicago Cubs,99670332,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,Chicago White Sox,108671833,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,Cincinnati Reds,68904980,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,Cleveland Guardians,61673267,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,Colorado Rockies,54424000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,Detroit Tigers,95180369,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,Houston Astros,87759000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,Kansas City Royals,67116500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,Los Angeles Angels,109251333,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,Los Angeles Dodgers,108454524,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,Miami Marlins,30507000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,Milwaukee Brewers,70986500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,Minnesota Twins,71439500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,New York Mets,115231663,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,New York Yankees,189639045,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,Oakland Athletics,79366940,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,Philadelphia Phillies,89428213,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,Pittsburgh Pirates,38537833,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,San Diego Padres,58110567,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,San Francisco Giants,90219056,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,Seattle Mariners,106460833,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,St. Louis Cardinals,90286823,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,Tampa Bay Rays,24123500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,Texas Rangers,68318675,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,Toronto Blue Jays,81942800,stevetheump.com (compiled from AP / Spotrac / Cot's),
2007,Washington Nationals,37347500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,Arizona Diamondbacks,66202712,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,Atlanta Braves,102365683,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,Baltimore Orioles,67196246,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,Boston Red Sox,133390035,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,Chicago Cubs,118345833,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,Chicago White Sox,121189332,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,Cincinnati Reds,74117695,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,Cleveland Guardians,78970066,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,Colorado Rockies,68655500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,Detroit Tigers,137685196,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,Houston Astros,88930414,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,Kansas City Royals,58245500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,Los Angeles Angels,119216333,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,Los Angeles Dodgers,118588536,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,Miami Marlins,21811500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,Milwaukee Brewers,80937499,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,Minnesota Twins,56932766,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,New York Mets,137793376,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,New York Yankees,209081577,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,Oakland Athletics,47967126,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,Philadelphia Phillies,98269880,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,Pittsburgh Pirates,48689783,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,San Diego Padres,73677616,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,San Francisco Giants,76594500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,Seattle Mariners,117666482,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,St. Louis Cardinals,99624449,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,Tampa Bay Rays,43820597,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,Texas Rangers,67712326,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,Toronto Blue Jays,97793900,stevetheump.com (compiled from AP / Spotrac / Cot's),
2008,Washington Nationals,54961000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,Arizona Diamondbacks,73571667,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,Atlanta Braves,96726167,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,Baltimore Orioles,67101667,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,Boston Red Sox,122696000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,Chicago Cubs,135050000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,Chicago White Sox,96068500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,Cincinnati Reds,70968500,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,Cleveland Guardians,81625567,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,Colorado Rockies,75201000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,Detroit Tigers,115085145,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,Houston Astros,102996415,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,Kansas City Royals,70908333,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,Los Angeles Angels,113709000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,Los Angeles Dodgers,100458101,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,Miami Marlins,36814000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,Milwaukee Brewers,80257502,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,Minnesota Twins,65299267,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,New York Mets,135773988,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,New York Yankees,201449289,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,Oakland Athletics,62310000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,Philadelphia Phillies,113004048,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,Pittsburgh Pirates,48743000,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,San Diego Padres,42796700,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,San Francisco Giants,82161450,stevetheump.com (compiled from AP / Spotrac / Cot's),
2009,Seattle Mariners,98904167,stevetheump.com (compiled from AP / Spotrac / Cot's),
