season,team,opening_day_payroll_usd,wins,prorated_wins,runs_scored,runs_allowed,pyth_wpct,pyth_wins_162,dollars_per_win,predicted_wins,wins_above_expected,season_slope,season_intercept,season_r2,made_playoffs
2000,Minnesota Twins,16519500,69,69.0,748,880,0.4218580683978258,68.34100708044778,239413.0434782609,72.95635355349172,-4.615346473043942,7.094060214990803,53.06076726789287,0.11233990938083482,False
2000,Miami Marlins,20072000,79,79.0,731,797,0.4588696141465938,74.3368774917482,254075.9493670886,74.33816516176975,-0.001287670021554277,7.094060214990803,53.06076726789287,0.11233990938083482,False
2000,Kansas City Royals,23433000,77,77.0,879,930,0.4718478730276797,76.43935543048411,304324.67532467534,75.43646384861395,1.0028915818701591,7.094060214990803,53.06076726789287,0.11233990938083482,False
2000,Chicago White Sox,31133500,95,95.0,978,839,0.5761019016185507,93.32850806220522,327721.05263157893,77.45216390778481,15.876344154420408,7.094060214990803,53.06076726789287,0.11233990938083482,True
2000,Oakland Athletics,31971333,91,91.0,947,813,0.5751968503789275,93.18188976138626,351333.3296703297,77.64054843378325,15.541341327603007,7.094060214990803,53.06076726789287,0.11233990938083482,True
2000,Pittsburgh Pirates,28928333,69,69.0,793,888,0.4448651223316451,72.0681498177265,419251.2028985507,76.93101356953763,-4.862863751811119,7.094060214990803,53.06076726789287,0.11233990938083482,False
2000,Milwaukee Brewers,36505333,73,73.0,740,826,0.4474849654940532,72.49256441003662,500073.05479452055,78.58135349113996,-6.088789081103343,7.094060214990803,53.06076726789287,0.11233990938083482,False
2000,Washington Nationals,34807833,67,67.0,738,902,0.4037283848008848,65.40399833774335,519519.8955223881,78.24356334531775,-12.839565007574407,7.094060214990803,53.06076726789287,0.11233990938083482,False
2000,Cincinnati Reds,46867200,85,85.0,825,765,0.5362941013427049,86.87964441751821,551378.8235294118,80.3538733258488,6.525771091669412,7.094060214990803,53.06076726789287,0.11233990938083482,False
2000,San Francisco Giants,53737826,97,97.0,925,747,0.6029180299705305,97.67272085522592,553998.206185567,81.32433422173112,16.348386633494798,7.094060214990803,53.06076726789287,0.11233990938083482,True
2000,Toronto Blue Jays,46238333,83,83.0,861,908,0.4736362994286975,76.729080507449,557088.3493975904,80.25804039164194,-3.5289598841929433,7.094060214990803,53.06076726789287,0.11233990938083482,False
2000,Los Angeles Angels,51464167,82,82.0,864,869,0.4971519846059513,80.53862150616412,627611.7926829269,81.01764828515985,-0.4790267789957312,7.094060214990803,53.06076726789287,0.11233990938083482,False
2000,St. Louis Cardinals,61453863,95,95.0,887,771,0.5678818561685215,91.99686069930048,646882.7684210526,82.27614108718836,9.72071961211212,7.094060214990803,53.06076726789287,0.11233990938083482,True
2000,Seattle Mariners,58915000,91,91.0,907,780,0.5733478830734456,92.8823570578982,647417.5824175824,81.97683579847026,10.905521259427942,7.094060214990803,53.06076726789287,0.11233990938083482,True
2000,Houston Astros,51289111,72,72.0,938,944,0.496777580214182,80.4779679946975,712348.7638888889,80.99347661821861,-0.5155086235211144,7.094060214990803,53.06076726789287,0.11233990938083482,False
2000,San Diego Padres,54821000,76,76.0,752,815,0.4614992533784886,74.76287904731515,721328.947368421,81.4659045919427,-6.70302554462755,7.094060214990803,53.06076726789287,0.11233990938083482,False
2000,Philadelphia Phillies,47308000,65,65.0,708,830,0.4247509471613013,68.80965344013082,727815.3846153846,80.42028326348299,-11.61062982335217,7.094060214990803,53.06076726789287,0.11233990938083482,False
2000,Detroit Tigers,58265167,79,79.0,823,827,0.4976404414352755,80.61775151251463,737533.7594936709,81.89815351275458,-1.2804020002399454,7.094060214990803,53.06076726789287,0.11233990938083482,False
2000,Colorado Rockies,61111190,82,82.0,968,897,0.5383231199683872,87.20834543487872,745258.4146341464,82.23647318560293,4.9718722492757905,7.094060214990803,53.06076726789287,0.11233990938083482,False
2000,Cleveland Guardians,75880871,90,90.0,950,816,0.5748851899085899,93.13140076519156,843120.7888888889,83.77212178868415,9.359278976507412,7.094060214990803,53.06076726789287,0.11233990938083482,False
2000,New York Mets,79509776,94,94.0,807,738,0.5425812124803345,87.89815642181419,845848.6808510638,84.10352335841137,3.794633063402827,7.094060214990803,53.06076726789287,0.11233990938083482,True
2000,Atlanta Braves,84537836,95,95.0,810,714,0.5597226809447262,90.67507431304564,889871.9578947368,84.53852556058766,6.136548752457983,7.094060214990803,53.06076726789287,0.11233990938083482,True
2000,Tampa Bay Rays,62765129,69,69.0,733,842,0.4337010958583974,70.25957752906038,909639.5507246376,82.42591762864423,-12.166340099583849,7.094060214990803,53.06076726789287,0.11233990938083482,False
2000,Boston Red Sox,77940333,85,85.0,792,745,0.5291394665887575,85.72059358737872,916945.094117647,83.96209326373368,1.7585003236450376,7.094060214990803,53.06076726789287,0.11233990938083482,False
