season,team,wins,losses,games,prorated_wins,runs_scored,runs_allowed
2017,Minnesota Twins,85,77,162,85.0,815,788
2017,New York Mets,70,92,162,70.0,735,863
2017,New York Yankees,91,71,162,91.0,858,660
2017,Oakland Athletics,75,87,162,75.0,739,826
2017,Philadelphia Phillies,66,96,162,66.0,690,782
2017,Pittsburgh Pirates,75,87,162,75.0,668,731
2017,San Diego Padres,71,91,162,71.0,604,816
2017,San Francisco Giants,64,98,162,64.0,639,776
2017,Seattle Mariners,78,84,162,78.0,750,772
2017,St. Louis Cardinals,83,79,162,83.0,761,705
2017,Tampa Bay Rays,80,82,162,80.0,694,704
2017,Texas Rangers,78,84,162,78.0,799,816
2017,Toronto Blue Jays,76,86,162,76.0,693,784
2017,Washington Nationals,97,65,162,97.0,819,672
2018,Arizona Diamondbacks,82,80,162,82.0,693,644
2018,Atlanta Braves,90,72,162,90.0,759,657
2018,Baltimore Orioles,47,115,162,47.0,622,892
2018,Boston Red Sox,108,54,162,108.0,876,647
2018,Chicago Cubs,95,68,163,95.0,761,645
2018,Chicago White Sox,62,100,162,62.0,656,848
2018,Cincinnati Reds,67,95,162,67.0,696,819
2018,Cleveland Guardians,91,71,162,91.0,818,648
2018,Colorado Rockies,91,72,163,91.0,780,745
2018,Detroit Tigers,64,98,162,64.0,630,796
2018,Houston Astros,103,59,162,103.0,797,534
2018,Kansas City Royals,58,104,162,58.0,638,833
2018,Los Angeles Angels,80,82,162,80.0,721,722
2018,Los Angeles Dodgers,92,71,163,92.0,804,610
2018,Miami Marlins,63,98,161,63.0,589,809
2018,Milwaukee Brewers,96,67,163,96.0,754,659
2018,Minnesota Twins,78,84,162,78.0,738,775
2018,New York Mets,77,85,162,77.0,676,707
2018,New York Yankees,100,62,162,100.0,851,669
2018,Oakland Athletics,97,65,162,97.0,813,674
2018,Philadelphia Phillies,80,82,162,80.0,677,728
2018,Pittsburgh Pirates,82,79,161,82.0,692,693
2018,San Diego Padres,66,96,162,66.0,617,767
2018,San Francisco Giants,73,89,162,73.0,603,699
2018,Seattle Mariners,89,73,162,89.0,677,711
2018,St. Louis Cardinals,88,74,162,88.0,759,691
2018,Tampa Bay Rays,90,72,162,90.0,716,646
2018,Texas Rangers,67,95,162,67.0,737,848
2018,Toronto Blue Jays,73,89,162,73.0,709,832
2018,Washington Nationals,82,80,162,82.0,771,682
2019,Arizona Diamondbacks,85,77,162,85.0,813,743
2019,Atlanta Braves,97,65,162,97.0,855,743
2019,Baltimore Orioles,54,108,162,54.0,729,981
2019,Boston Red Sox,84,78,162,84.0,901,828
2019,Chicago Cubs,84,78,162,84.0,814,717
2019,Chicago White Sox,72,89,161,72.0,708,832
2019,Cincinnati Reds,75,87,162,75.0,701,711
2019,Cleveland Guardians,93,69,162,93.0,769,657
2019,Colorado Rockies,71,91,162,71.0,835,958
2019,Detroit Tigers,47,114,161,47.0,582,915
2019,Houston Astros,107,55,162,107.0,920,640
2019,Kansas City Royals,59,103,162,59.0,691,869
2019,Los Angeles Angels,72,90,162,72.0,769,868
2019,Los Angeles Dodgers,106,56,162,106.0,886,613
2019,Miami Marlins,57,105,162,57.0,615,808
2019,Milwaukee Brewers,89,73,162,89.0,769,766
2019,Minnesota Twins,101,61,162,101.0,939,754
2019,New York Mets,86,76,162,86.0,791,737
2019,New York Yankees,103,59,162,103.0,943,739
2019,Oakland Athletics,97,65,162,97.0,845,680
2019,Philadelphia Phillies,81,81,162,81.0,774,794
2019,Pittsburgh Pirates,69,93,162,69.0,758,911
2019,San Diego Padres,70,92,162,70.0,682,789
2019,San Francisco Giants,77,85,162,77.0,678,773
2019,Seattle Mariners,68,94,162,68.0,758,893
2019,St. Louis Cardinals,91,71,162,91.0,764,662
2019,Tampa Bay Rays,96,66,162,96.0,769,656
2019,Texas Rangers,78,84,162,78.0,810,878
2019,Toronto Blue Jays,67,95,162,67.0,726,828
2019,Washington Nationals,93,69,162,93.0,873,724
2020,Arizona Diamondbacks,25,35,60,67.5,269,295
2020,Atlanta Braves,35,25,60,94.5,348,288
2020,Baltimore Orioles,25,35,60,67.5,274,294
2020,Boston Red Sox,24,36,60,64.8,292,351
2020,Chicago Cubs,34,26,60,91.8,265,240
2020,Chicago White Sox,35,25,60,94.5,306,246
2020,Cincinnati Reds,31,29,60,83.7,243,243
2020,Cleveland Guardians,35,25,60,94.5,248,209
2020,Colorado Rockies,26,34,60,70.2,275,353
2020,Detroit Tigers,23,35,58,62.1,249,318
2020,Houston Astros,29,31,60,78.3,279,275
2020,Kansas City Royals,26,34,60,70.2,248,272
2020,Los Angeles Angels,26,34,60,70.2,294,321
2020,Los Angeles Dodgers,43,17,60,116.1,349,213
2020,Miami Marlins,31,29,60,83.7,263,304
2020,Milwaukee Brewers,29,31,60,78.3,247,264
2020,Minnesota Twins,36,24,60,97.2,269,215
2020,New York Mets,26,34,60,70.2,286,308
2020,New York Yankees,33,27,60,89.1,315,270
2020,Oakland Athletics,36,24,60,97.2,274,232
2020,Philadelphia Phillies,28,32,60,75.6,306,311
2020,Pittsburgh Pirates,19,41,60,51.3,219,298
2020,San Diego Padres,37,23,60,99.9,325,241
2020,San Francisco Giants,29,31,60,78.3,299,297
2020,Seattle Mariners,27,33,60,72.9,254,303
2020,St. Louis Cardinals,30,28,58,81.0,240,229
2020,Tampa Bay Rays,40,20,60,108.0,289,229
2020,Texas Rangers,22,38,60,59.4,224,312
2020,Toronto Blue Jays,32,28,60,86.4,302,312
2020,Washington Nationals,26,34,60,70.2,293,301
2021,Arizona Diamondbacks,52,110,162,52.0,679,893
2021,Atlanta Braves,88,73,161,88.0,790,656
2021,Baltimore Orioles,52,110,162,52.0,659,956
2021,Boston Red Sox,92,70,162,92.0,829,749
2021,Chicago Cubs,71,91,162,71.0,705,839
2021,Chicago White Sox,93,69,162,93.0,796,636
2021,Cincinnati Reds,83,79,162,83.0,786,760
2021,Cleveland Guardians,80,82,162,80.0,717,727
2021,Colorado Rockies,74,87,161,74.0,739,796
2021,Detroit Tigers,77,85,162,77.0,697,756
2021,Houston Astros,95,67,162,95.0,863,658
2021,Kansas City Royals,74,88,162,74.0,686,788
2021,Los Angeles Angels,77,85,162,77.0,723,804
2021,Los Angeles Dodgers,106,56,162,106.0,830,561
2021,Miami Marlins,67,95,162,67.0,623,701
2021,Milwaukee Brewers,95,67,162,95.0,738,623
2021,Minnesota Twins,73,89,162,73.0,729,834
2021,New York Mets,77,85,162,77.0,636,668
2021,New York Yankees,92,70,162,92.0,711,669
2021,Oakland Athletics,86,76,162,86.0,743,687
2021,Philadelphia Phillies,82,80,162,82.0,734,745
2021,Pittsburgh Pirates,61,101,162,61.0,609,833
2021,San Diego Padres,79,83,162,79.0,729,708
2021,San Francisco Giants,107,55,162,107.0,804,594
2021,Seattle Mariners,90,72,162,90.0,697,748
2021,St. Louis Cardinals,90,72,162,90.0,706,672
2021,Tampa Bay Rays,100,62,162,100.0,857,651
2021,Texas Rangers,60,102,162,60.0,625,815
2021,Toronto Blue Jays,91,71,162,91.0,846,663
2021,Washington Nationals,65,97,162,65.0,724,820
2022,Arizona Diamondbacks,74,88,162,74.0,702,740
2022,Atlanta Braves,101,61,162,101.0,789,609
2022,Baltimore Orioles,83,79,162,83.0,674,688
2022,Boston Red Sox,78,84,162,78.0,735,787
2022,Chicago Cubs,74,88,162,74.0,657,731
2022,Chicago White Sox,81,81,162,81.0,686,717
2022,Cincinnati Reds,62,100,162,62.0,648,815
2022,Cleveland Guardians,92,70,162,92.0,698,634
2022,Colorado Rockies,68,94,162,68.0,698,873
2022,Detroit Tigers,66,96,162,66.0,557,713
2022,Houston Astros,106,56,162,106.0,737,518
2022,Kansas City Royals,65,97,162,65.0,640,810
2022,Los Angeles Angels,73,89,162,73.0,623,668
2022,Los Angeles Dodgers,111,51,162,111.0,847,513
2022,Miami Marlins,69,93,162,69.0,586,676
2022,Milwaukee Brewers,86,76,162,86.0,725,688
2022,Minnesota Twins,78,84,162,78.0,696,684
2022,New York Mets,101,61,162,101.0,772,606
2022,New York Yankees,99,63,162,99.0,807,567
2022,Oakland Athletics,60,102,162,60.0,568,770
2022,Philadelphia Phillies,87,75,162,87.0,747,685
2022,Pittsburgh Pirates,62,100,162,62.0,591,817
2022,San Diego Padres,89,73,162,89.0,705,660
2022,San Francisco Giants,81,81,162,81.0,716,697
2022,Seattle Mariners,90,72,162,90.0,690,623
2022,St. Louis Cardinals,93,69,162,93.0,772,637
2022,Tampa Bay Rays,86,76,162,86.0,666,614
2022,Texas Rangers,68,94,162,68.0,707,743
2022,Toronto Blue Jays,92,70,162,92.0,775,679
2022,Washington Nationals,55,107,162,55.0,603,855
2023,Arizona Diamondbacks,84,78,162,84.0,746,761
2023,Atlanta Braves,104,58,162,104.0,947,716
2023,Baltimore Orioles,101,61,162,101.0,807,678
2023,Boston Red Sox,78,84,162,78.0,772,776
2023,Chicago Cubs,83,79,162,83.0,819,723
2023,Chicago White Sox,61,101,162,61.0,641,841
2023,Cincinnati Reds,82,80,162,82.0,783,821
2023,Cleveland Guardians,76,86,162,76.0,662,697
2023,Colorado Rockies,59,103,162,59.0,721,957
2023,Detroit Tigers,78,84,162,78.0,661,740
2023,Houston Astros,90,72,162,90.0,827,698
2023,Kansas City Royals,56,106,162,56.0,676,859
2023,Los Angeles Angels,73,89,162,73.0,739,829
2023,Los Angeles Dodgers,100,62,162,100.0,906,699
2023,Miami Marlins,84,78,162,84.0,666,723
2023,Milwaukee Brewers,92,70,162,92.0,728,647
2023,Minnesota Twins,87,75,162,87.0,778,659
2023,New York Mets,75,87,162,75.0,717,729
2023,New York Yankees,82,80,162,82.0,673,698
2023,Oakland Athletics,50,112,162,50.0,585,924
2023,Philadelphia Phillies,90,72,162,90.0,796,715
2023,Pittsburgh Pirates,76,86,162,76.0,692,790
2023,San Diego Padres,82,80,162,82.0,752,648
2023,San Francisco Giants,79,83,162,79.0,674,719
2023,Seattle Mariners,88,74,162,88.0,758,659
2023,St. Louis Cardinals,71,91,162,71.0,719,829
2023,Tampa Bay Rays,99,63,162,99.0,860,665
2023,Texas Rangers,90,72,162,90.0,881,716
2023,Toronto Blue Jays,89,73,162,89.0,746,671
2023,Washington Nationals,71,91,162,71.0,700,845
2024,Arizona Diamondbacks,89,73,162,89.0,886,788
2024,Atlanta Braves,89,73,162,89.0,704,607
2024,Baltimore Orioles,91,71,162,91.0,786,699
2024,Boston Red Sox,81,81,162,81.0,751,747
2024,Chicago Cubs,83,79,162,83.0,736,669
2024,Chicago White Sox,41,121,162,41.0,507,813
2024,Cincinnati Reds,77,85,162,77.0,699,694
2024,Cleveland Guardians,92,69,161,92.0,708,621
2024,Colorado Rockies,61,101,162,61.0,682,929
2024,Detroit Tigers,86,76,162,86.0,682,642
2024,Houston Astros,88,73,161,88.0,740,649
2024,Kansas City Royals,86,76,162,86.0,735,644
2024,Los Angeles Angels,63,99,162,63.0,635,797
2024,Los Angeles Dodgers,98,64,162,98.0,842,686
2024,Miami Marlins,62,100,162,62.0,637,841
2024,Milwaukee Brewers,93,69,162,93.0,777,641
2024,Minnesota Twins,82,80,162,82.0,742,735
2024,New York Mets,89,73,162,89.0,768,697
2024,New York Yankees,94,68,162,94.0,815,668
2024,Oakland Athletics,69,93,162,69.0,643,764
2024,Philadelphia Phillies,95,67,162,95.0,784,671
2024,Pittsburgh Pirates,76,86,162,76.0,665,739
2024,San Diego Padres,93,69,162,93.0,760,669
2024,San Francisco Giants,80,82,162,80.0,693,699
2024,Seattle Mariners,85,77,162,85.0,676,607
2024,St. Louis Cardinals,83,79,162,83.0,672,719
2024,Tampa Bay Rays,80,82,162,80.0,604,663
2024,Texas Rangers,78,84,162,78.0,683,738
2024,Toronto Blue Jays,74,88,162,74.0,671,743
2024,Washington Nationals,71,91,162,71.0,660,764
2025,Arizona Diamondbacks,80,82,162,80.0,791,785
2025,Atlanta Braves,76,86,162,76.0,724,734
2025,Baltimore Orioles,75,87,162,75.0,677,788
2025,Boston Red Sox,89,73,162,89.0,786,676
2025,Chicago Cubs,92,70,162,92.0,793,649
2025,Chicago White Sox,60,102,162,60.0,647,742
2025,Cincinnati Reds,83,79,162,83.0,716,681
2025,Cleveland Guardians,88,74,162,88.0,643,649
2025,Colorado Rockies,43,119,162,43.0,597,1021
2025,Detroit Tigers,87,75,162,87.0,758,691
2025,Houston Astros,87,75,162,87.0,686,665
2025,Kansas City Royals,82,80,162,82.0,651,637
2025,Los Angeles Angels,72,90,162,72.0,673,837
2025,Los Angeles Dodgers,93,69,162,93.0,825,683
2025,Miami Marlins,79,83,162,79.0,709,798
2025,Milwaukee Brewers,97,65,162,97.0,806,634
2025,Minnesota Twins,70,92,162,70.0,678,773
2025,New York Mets,83,79,162,83.0,766,715
2025,New York Yankees,94,68,162,94.0,849,685
2025,Oakland Athletics,76,86,162,76.0,733,817
2025,Philadelphia Phillies,96,66,162,96.0,778,648
2025,Pittsburgh Pirates,71,91,162,71.0,583,645
2025,San Diego Padres,90,72,162,90.0,702,621
2025,San Francisco Giants,81,81,162,81.0,705,684
2025,Seattle Mariners,90,72,162,90.0,766,694
2025,St. Louis Cardinals,78,84,162,78.0,689,754
2025,Tampa Bay Rays,77,85,162,77.0,714,683
2025,Texas Rangers,81,81,162,81.0,684,605
2025,Toronto Blue Jays,94,68,162,94.0,798,721
2025,Washington Nationals,66,96,162,66.0,687,899
