season,team,opening_day_payroll_usd,wins,prorated_wins,runs_scored,runs_allowed,pyth_wpct,pyth_wins_162,dollars_per_win
2008,Cincinnati Reds,74117695,74,74.0,704,800,0.4397154858050366,71.23390870041592,1001590.472972973
2008,Houston Astros,88930414,86,86.0,712,743,0.4799698316220594,77.75511272277363,1034074.5813953489
2008,San Francisco Giants,76594500,72,72.0,640,759,0.42150138987837915,68.28322516029742,1063812.5
2008,Philadelphia Phillies,98269880,92,92.0,799,680,0.5754756694204274,93.22705844610924,1068150.8695652173
2008,Toronto Blue Jays,97793900,86,86.0,714,610,0.5714300641168183,92.57167038692457,1137138.3720930233
2008,St. Louis Cardinals,99624449,86,86.0,779,725,0.5339915966871591,86.50663866331978,1158423.8255813953
2008,San Diego Padres,73677616,63,63.0,637,764,0.416376729383851,67.45303016018386,1169485.9682539683
2008,Los Angeles Angels,119216333,100,100.0,765,697,0.5436462898795382,88.07069896048519,1192163.33
2008,Chicago Cubs,118345833,97,97.0,855,671,0.6135113575696793,99.38883992628806,1220060.1340206186
2008,Chicago White Sox,121189332,89,89.0,811,729,0.5505947869757003,89.19635549006345,1361677.8876404495
