season,slope_pyth_wins_per_log_dollarM,intercept,r2,payroll_spread_M,median_payroll_M,predicted_win_spread,era
2000,7.094060214990803,53.06076726789287,0.1123399093808348,76.01876,56.5430835,12.223638094462702,2000-2011 (pre-second-wild-card)
2001,7.627449753069088,49.81984019161905,0.06748832976045,85.441893,62.8478335,11.487357637121447,2000-2011 (pre-second-wild-card)
2002,19.9672521419809,-1.6735403250848926,0.2736520379385176,91.548583,61.107577,25.922284316950293,2000-2011 (pre-second-wild-card)
2003,12.7769795269294,27.619536599990933,0.1805262264658335,133.119814,68.9798335,26.215070282684724,2000-2011 (pre-second-wild-card)
2004,13.832812922549069,23.823426835897056,0.2774082310304828,155.317013,62.207785,26.195590777585963,2000-2011 (pre-second-wild-card)
2005,11.5946375417068,32.47290883422418,0.2053756619814651,176.044872,66.0070085,22.376884949412005,2000-2011 (pre-second-wild-card)
2006,8.557331406082115,44.564643713131936,0.1813046006880655,179.664579,72.250291,21.935179322540385,2000-2011 (pre-second-wild-card)
2007,11.50800724859637,31.19764314584455,0.2902738833247894,165.515545,84.6168165,23.72877481433869,2000-2011 (pre-second-wild-card)
2008,8.168920142486993,45.07156518163882,0.13383535128936,187.270077,79.9537825,18.464105168167478,2000-2011 (pre-second-wild-card)
2009,13.070029276509132,23.218136598970027,0.2204284896000986,164.635289,81.309612,22.214599093233577,2000-2011 (pre-second-wild-card)
2010,8.804069077670725,41.99239421827767,0.0883675803327961,171.390389,84.3253335,15.634046570296682,2000-2011 (pre-second-wild-card)
2011,8.513660648367736,43.12907411938191,0.120340607690134,165.56263,86.713896,14.640969084149994,2000-2011 (pre-second-wild-card)
2012,7.34731007306672,47.92149178652092,0.0551026171980583,142.717589,85.7534875,9.377402299122355,2012-2025 (post-second-wild-card)
2013,9.796317604982,36.53927298983262,0.1472001397661836,206.77289,90.3857625,22.914757477778767,2012-2025 (post-second-wild-card)
2014,4.638764060124486,59.38000307559121,0.0384789814921883,190.751045,105.6257145,7.720571522649626,2012-2025 (post-second-wild-card)
2015,3.6493716157424503,63.69456014211895,0.0136300176641718,204.31004,114.428664,5.044057879156576,2012-2025 (post-second-wild-card)
2016,13.365847610515502,17.663580095182617,0.1528091103325661,154.288202,114.2510785,15.687686410170631,2012-2025 (post-second-wild-card)
2017,10.022243931850715,32.27812468080874,0.0746723214967894,179.004528,135.9444105,13.480944731973564,2012-2025 (post-second-wild-card)
2018,12.97230399247375,17.769421613680404,0.0778499922914678,167.12,137.845,16.021781945521514,2012-2025 (post-second-wild-card)
2019,17.881220436115427,-4.171075184023483,0.1807112149922681,152.639917,120.2610505,24.13314187873323,2012-2025 (post-second-wild-card)
2020,11.970090193923395,24.376856402915745,0.1309632277720888,172.172339,132.005083,19.473392097392285,2012-2025 (post-second-wild-card)
2021,13.368243847526022,18.60117886637826,0.2058695178445293,199.507876,123.495667,25.13850571206961,2012-2025 (post-second-wild-card)
2022,14.129404129863516,13.958860956594426,0.3029811519274327,246.887167,130.006083,31.308865982349584,2012-2025 (post-second-wild-card)
2023,9.223246427864726,35.87553914092969,0.1193810043649851,291.088332,157.01065,18.882501649334415,2012-2025 (post-second-wild-card)
2024,9.801173019914083,32.67110294673215,0.131004584215288,253.826074,143.932369,18.037258017915928,2012-2025 (post-second-wild-card)
2025,11.04842919802905,26.720544508798977,0.210527509372153,274.0,144.0,21.22727544004031,2012-2025 (post-second-wild-card)
